id,name,party,sector,country,Type
lk,Lars Klingbeil,SPD,Politik,Deutschland,1
500,Folge 500,,,,2
ul,Ursula von der Leyen,CDU,Politik,Deutschland,1
nr,Norbert Röttgen,CDU,Politik,Deutschland,1
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland,1
cs,Constanze Stelzenmüller,,Juristik,Deutschland,1
cl,Christian Lindner,FDP,Politik,Deutschland,1
ks,Karl Schlögel,,Historie,Deutschland,1
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine,1
kd,Kristina Dunz,,Redaktion,Deutschland,1
el,Egils Levits,,Politik,Lettland,1
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland,1
ft,Frans Timmermans,,Politik,Niederlande,1
am,Andrij Melnyk,,Politik,Ukraine,1
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland,1
er,Egon Ramms,,Bundeswehr,Deutschland,1
rh,Robert Habeck,Die Grünen,Politik,Deutschland,1
cm,Claudia Major,,Politikwissenschaft,Deutschland,1
kp,Katja Petrowskaja,,Literatur,Ukraine,1
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,1
501,Folge 501,,,,2
502,Folge 502,,,,2
503,Folge 503,,,,2
SPD,Sozialdemokratische Partei Deutschlands,,,,2
Die Grünen,Bündnis 90/Die Grünen,,,,2
Die Linke,Die Linken,,,,2
FDP,Freie Demokratische Partei,,,,2
CDU,Christlich Demokratische Union Deutschlands,,,,2