id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
500,Folge 500,,,
ul,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Juristik,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Historie,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Redaktion,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Politik,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,,Politikwissenschaft,Deutschland
kp,Katja Petrowskaja,,Literatur,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
SPD,Sozialdemokratische Partei Deutschlands,,,
Die Grünen,Bündnis 90/Die Grünen,,,
Die Linke,Die Linken,,,
FDP,Freie Demokratische Partei,,,
CDU,Christlich Demokratische Union Deutschlands,,,